$VISION;;;;
$VERSION:VERSNR;FILETYPE;LANGUAGE;UNIT;
9;ATT;ENG;KM;
;;;;
$zone:NO;CODE;NAME;XCOORD;YCOORD
1;ALTED;Altenerding;4492790,5;5350524,5
2;BOFLA;Bockhorn, Abzweig;4495929,5;5350882,5
3;BOKIR;Bockhorn, Kirche;4503278,5;5350340,5
4;BOMOOS;Moos;4502669;5355514
5;DOBHF;Dorfen Bhf;4511935;5347670
6;DORFE;Dorfen, Markt;4511233,5;5348363
7;EDARD;Erding, Ardeostr;4493546,5;5349869,5
8;ERDSBF;Erding, S-Bahn;4493682,5;5351729
9;EDNORD;Erding, Nord;4492177,5;5353085,5
10;FBERG;Fraunberg;4499590,5;5359250,5
11;FLUGHB;Airport Visitor;4482894;5357244,5
12;HKBHF;Hoerlkofen;4495707;5344803,5
13;ISENR;Isen, Rathaus;4504581;5341783,5
14;LANGP;Langenpreising;4497936;5365234,5
15;LEHNG;Lengdorf, Post;4503791,5;5346582,5
16;LENGD;Lengdorf, Markt;4503969;5346187
17;LESCH;Leschach;4506290;5350242
18;LEWIM;Wimpasing;4503343;5345680
19;LGEIS;Langengeisling;4494580;5354717,5
20;MSBHF;Markt Schwaben;4489838,5;5339512
21;MUCOST;Muenchen, Ost;4471064;5332592
22;OTTEN;Ottenhofen;4491178,5;5342258,5
23;REICH;Reichenhofen;4498346;5357819,5
24;RIDNG;Riding;4499848;5360265
25;SKOLO;St. Kolomann;4491409,5;5345161,5
26;TITTE;Tittenkofen;4496585;5356443
27;TVOMN;Taufkirchen;4509783;5356190
28;WBERG;Wartenberg;4499477;5362687,5
29;WKBHF;Walpertskirchen;4497776;5346844
30;ZAGLN;Zaglern;4499833;5361491
31;STWOL;St. Wolfgang;4510174;5342884
32;BOCKH;Bockhorn;4498550;5353614,5
33;IHOLZ;Inning;4505875;5356669
34;EDLRA;Erding, Landratsamt;4493354;5352510,5
36;MUC_HBF;Muenchen, Hbf;4467859;5331594
40;FLUGH;Muc Airport;4484340,5;5357249
50;FINSING;Finsing, Schule;4485864;5343176
53;NEUCHING;Neuching, Post;4487083;5345227,5
68;OBERDING;Oberding;4488325,5;5355454
69;MOOSIN;Moosining;4488588;5348786
70;ISMANING;Ismaning;4475709;5343146,5
283;DOTANNE;Tannenweg;4511138,5;5348540,5
300;AHS;Aufhausen;4492345;5348637
301;MNR;Riem;4476444;5334074
302;FKN;Feldkirchen;4480578;5335044
303;GRB;Grub;4483930,5;5336293
305;WDNB;Weidenbach;4525377;5346609
307;HTT;Heimstetten;4482161,5;5335615,5
308;MoosB;Moosburg;4496678,5;5369763
339;STNEU;Neudorf;4511061,5;5344324
346;POING;Poing;4485942;5337060
375;FSING;Freising;4481427;5362646
